product_title,product_variant_title,product_variant_sku,quantity_sold,ending_quantity,quantity_sold_per_day
Bone Refills 45 Grams (4 Pack)®,Beef,F-BE,31,88,0.18
Bone Refills 45 Grams (4 Pack)®,Liver,F-LI,20,160,0.12
Bone Refills 45 Grams (4 Pack)®,Duck,F-DU,18,58,0.11
Bone Refills 45 Grams (4 Pack)®,Chicken,F-CH,29,54,0.17
Bone Refills 45 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX,198,487,1.16
Bone Refills 45 Grams (4 Pack)®,Peanut Butter,F-PB,104,330,0.61
Bone Refills 90 Grams (4 Pack)®,"Mix (Chicken, Beef, Duck, Liver)",F-MX90,952,652,5.6
Bone Refills 90 Grams (4 Pack)®,Liver,F-LI90,99,190,0.58
Bone Refills 90 Grams (4 Pack)®,Beef,F-BE90,133,188,0.78
Bone Refills 90 Grams (4 Pack)®,Duck,F-DU90,107,298,0.63
Bone Refills 90 Grams (4 Pack)®,Chicken,F-CH90,113,164,0.66
Freez Double,UP TO 140LBS DOGS / Navy,FD-N,104,150,0.61
Freez Double,UP TO 140LBS DOGS / Purple,FD-P,103,171,0.61
Freez Doughnut,UP TO 140LBS DOGS / Purple,FDN-P,771,590,4.54
Freez Doughnut,UP TO 140LBS DOGS / Navy,FDN-N,718,683,4.22
FreezStar,UP TO 140LBS DOGS / Coral,FST-C,110,63,3.24
FreezStar,UP TO 140LBS DOGS / Navy,FST-N,114,62,3.68
FreezStar Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Coral,BUN-FST-C90,13,63,0.43
FreezStar Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FST-N90,11,62,0.32
Freezball,XL - UP TO 120 LBS DOGS / Navy,FB-NXL,7,188,0.3
Freezball,L - UP TO 140 LBS DOGS / Purple,FB-PL,4,96,0.33
Freezball,S - UP TO 60 LBS DOGS / Purple,FB-PS,6,90,0.35
Freezball,L - UP TO 140 LBS DOGS / Navy,FB-NL,4,91,0.57
Freezball,XL - UP TO 120 LBS DOGS / Purple,FB-PXL,11,184,0.46
Freezball,L - UP TO 40 LBS DOGS / Purple,FB-PL,1025,0,3.05
Freezball,XL - UP TO 140 LBS DOGS / Purple,FB-PXL,1030,0,5.12
Freezball,S - UP TO 25 LBS DOGS / Navy,FB-NS,569,0,1.69
Freezball,L - UP TO 40 LBS DOGS / Navy,FB-NL,1037,0,3.09
Freezball,S - UP TO 60 LBS DOGS / Navy,FB-NS,8,90,0.4
Freezball,S - UP TO 25 LBS DOGS / Purple,FB-PS,652,0,1.94
Freezball,XL - UP TO 140 LBS DOGS / Navy,FB-NXL,957,0,4.76
Freezball Bundle,S - UP TO 60LBS DOGS / Navy,BUN-FB-NS,4,21,0.57
Freezball Bundle,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS,32,146,0.19
Freezball Bundle,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL,2,133,0.1
Freezball Bundle,L - UP TO 140LBS DOGS / Navy,BUN-FB-NL,5,20,0.42
Freezball Bundle,S - UP TO 60LBS DOGS / Purple,BUN-FB-PS,5,20,1
Freezball Bundle,L - UP TO 140LBS DOGS / Purple,BUN-FB-PL,4,21,0.33
Freezball Bundle,S - UP TO 25LBS DOGS / Purple,BUN-FB-PS,19,174,0.12
Freezball Bundle,L - UP TO 40LBS DOGS / Navy,BUN-FB-NL,29,112,0.18
Freezball Bundle,L - UP TO 40LBS DOGS / Purple,BUN-FB-PL,41,100,0.25
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL,6,0,0.04
Freezball Bundle 45 Grams Fillers,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS,13,0,0.08
Freezball Bundle 45 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL,8,0,0.05
Freezball Bundle 45 Grams Fillers,S - UP TO 25LBS DOGS / Purple,BUN-FB-PS,9,0,0.05
Freezball Bundle 45 Grams Fillers,L - UP TO 40LBS DOGS / Navy,BUN-FB-NL,3,0,0.02
Freezball Bundle 45 Grams Fillers,L - UP TO 40LBS DOGS / Purple,BUN-FB-PL,7,0,0.04
Freezball Bundle 90 Grams Fillers,XL - UP TO 125LBS DOGS / Navy,,3,188,0.3
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Navy,,4,108,0.29
Freezball Bundle 90 Grams Fillers,XL - UP TO 125LBS DOGS / Purple,,3,184,0.19
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Purple,,3,128,0.14
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,BUN-FB-PXL90,27,0,0.14
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,BUN-FB-NXL90,42,0,0.22
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Navy,,2,171,0.18
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Purple,BUN-FB-PL90,28,0,0.15
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Navy,BUN-FB-NS90,20,0,0.1
Freezball Bundle 90 Grams Fillers,L - UP TO 40LBS DOGS / Navy,BUN-FB-NL90,35,0,0.18
Freezball Bundle 90 Grams Fillers,XL - UP TO 140LBS DOGS / Purple,,7,153,0.7
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Navy,,4,175,1.33
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Purple,BUN-FB-PS90,18,0,0.09
Freezball Bundle 90 Grams Fillers,S - UP TO 25LBS DOGS / Purple,,2,216,0.1
Freezbone,Navy / L - Up to 140lbs Dogs,B-NL,120,138,0.71
Freezbone,Navy / S - Up to 60lbs Dogs,B-NS,94,372,0.55
Freezbone,Brown / L - Up to 140lbs Dogs,B-BL,105,105,0.62
Freezbone,Purple / L - Up to 140lbs Dogs,B-PL,101,151,0.59
Freezbone,Purple / S - Up to 60lbs Dogs,B-PS,115,335,0.68
Freezbone,Brown / S - Up to 60lbs Dogs,B-BS,71,114,0.42
Freezbone - The Dog Feeders ®,Navy / S - Up to 60lbs Dogs,B-NS,27,232,0.84
Freezbone - The Dog Feeders ®,Navy / Large,B-NL,95,126,0.59
Freezbone - The Dog Feeders ®,Purple / L - Up to 140lbs Dogs,B-PL,35,73,1.09
Freezbone - The Dog Feeders ®,Purple / S - Up to 60lbs Dogs,B-PS,50,86,1.56
Freezbone - The Dog Feeders ®,Purple / Large,B-PL,76,107,0.47
Freezbone - The Dog Feeders ®,Brown / Large,B-BL,61,201,0.37
Freezbone - The Dog Feeders ®,Navy / L - Up to 140lbs Dogs,B-NL,37,34,1.12
Freezbone - The Dog Feeders ®,Purple / Small,B-PS,54,137,0.33
Freezbone - The Dog Feeders ®,Brown / S - Up to 60lbs Dogs,B-BS,30,52,0.94
Freezbone - The Dog Feeders ®,Brown / L - Up to 140lbs Dogs,B-BL,34,166,1.06
Freezbone - The Dog Feeders ®,Navy / Small,B-NS,70,262,0.43
Freezbone - The Dog Feeders ®,Brown / Small,B-BS,43,72,0.26
Freezbone - The Dog Feeders ® Free Gift,Navy / Small,B-NS,0,276,0
Freezbone - The Dog Feeders ® Free Gift,Navy / Large,B-NL,0,133,0
Freezbone - The Dog Feeders ® Free Gift,Purple / Small,B-PS,0,147,0
